keyword_lower,count
customer relationship manager,1
tactical planning,1
leadership effectiveness,1
stakeholder theory,1
public cloud computing,1
state information technology departments,1
strategic posture,1
competitive advantages,1
is resources,1
business process management (bpm),1
software as a service (saas),1
teaching case,1
it performance,1
value adding,1
course design projects,1
entrepreneurial models,1
organizing design teams,1
iceland,1
innovative usage of information systems,1
operational role effectiveness,1
strategic is vision,1
strategic role effectiveness,1
application landscape,1
cognitive frames,1
personality inventories,1
cio role expectationsinstrument,1
developing countries,1
enabling elements,1
eparticipation,1
inhibiting elements,1
smart cities,1
information systems security management,1
local government information systems security,1
e-waste,1
energy,1
environmental footprint,1
green technology,1
information technoloogy,1
ahp,1
analytic hierarchy process,1
cloud selection,1
it stakeholder management,1
it strategic decisions,1
customer value,1
innovative business orientation,1
innovative is strategy,1
organizational climate,1
case-based learning,1
information systems curriculum,1
is curriculum development,1
is management education,1
continuous innovation,1
industry effects on it adoption,1
organisational capital,1
sustainable competitive advantage,1
community,1
github,1
microsoft,1
stack exchange,1
topcoder,1
corporate entrepreneurship,1
open innovation,1
event history methods,1
proximity analysis,1
competitive advantage information technology (it) strategy,1
wiki,1
attention based view,1
complementarities,1
it-enabled innovation,1
strategic focus,1
local e-government,1
municipal cio,1
online surveys,1
institutions of higher education,1
ceo-cio roles,1
core it capabilities,1
it and business alignment,1
it structure and governance,1
managing business transformation,1
banking platforms,1
manda,1
strategic management of information system,1
transformational and transactional leadership,1
information behavior,1
liberal arts education,1
program assessment,1
service-learning pedagogy,1
c-suite executives,1
executive teams,1
kaplan-meier curves,1
survival analysis,1
computing majors,1
employment,1
job skills,1
bayesian multivariate probit,1
e-buy,1
electronic resources,1
information system adoption,1
korea,1
on-line services,1
development assistance,1
emergent strategy,1
national development strategy,1
program preparation,1
hofstede's cultural dimensions,1
information systems planning effectiveness,1
pls-graph 3.0,1
market orientation,1
survey research volume,1
model,1
abandonment,1
design pattern,1
it management framework,1
public sector cio,1
distributed computing,1
mobile computing,1
modeling and simulation,1
service oriented architecture,1
web services,1
breakthrough,1
ubiquity,1
senior manager,1
skills and activities,1
skills set,1
not-for-profit,1
value-added services,1
business alignment of it,1
it operating model,1
cross-cultural studies,1
e-service,1
national culture,1
toe,1
modularity,1
outsourcing success,1
industry training,1
national transition strategy,1
w3c wcag 2.0,1
web accessibility,1
clinical information systems,1
greek hospitals,1
it adoption,1
it sophistication,1
resistance to information systems,1
chief information officer roles,1
professional profiles,1
requirements,1
cio role and responsibilities,1
swedish multinational corporations,1
due diligence,1
merger or acquisition,1
planning,1
time frame,1
is professionals,1
motive talk,1
speech act theory,1
sweden,1
emotional iitelligence,1
quality of work-life,1
requisite skills,1
it competences,1
it practitioners,1
it training,1
cultural intelligence,1
gamification,1
job,1
polyspecialist skills,1
professionals,1
information asset management,1
information asset management capability,1
information assets,1
bi,1
scm,1
workflow,1
it project,1
public,1
saudi,1
current e-business practices,1
electronic business,1
electronic content management,1
free and open source software,1
government departments,1
positioning,1
public service,1
strategic role,1
importance-performance analysis,1
it governance balanced scorecard,1
thai universities,1
individual performance,1
personal productivity,1
system integration,1
ontology,1
green its,1
it executive role,1
it-business relationships,1
industry,1
organisation,1
educational it leadership,1
focus groups,1
it education management,1
r&d productivity,1
data models,1
disaster management,1
disaster response,1
humanitarian assistance,1
interoperable information,1
national information exchange model,1
niem,1
benchmarking scale,1
city agencies,1
stage model,1
regional economic growth,1
total factor productivity,1
two-step system gmm,1
service oriented architecture (soa),1
data center,1
distribute file system,1
hadoop distribute file system,1
chief information offices (cio),1
developed country,1
developing country,1
government chief information offices (gcio),1
bi assimilation,1
bi business value,1
shared knowledge,1
strategic it alignment,1
it value hierarchy,1
strategic use of it,1
business innovation,1
lifelong learning,1
lifelong learning strategy,1
talent pool,1
voice over internet protocol,1
goal congruence,1
integrative leadership,1
supply chain implementation,1
synergistic information flow,1
human resource strategy,1
information infrastructure,1
information society,1
knowledge economy,1
italy,1
on line service delivery,1
contract,1
is outsourcing,1
relationship,1
interview protocol,1
long interview technique,1
it process improvement,1
system monitoring,1
information behaviors,1
gcio function,1
case study method,1
context,1
role effectiveness,1
decentralization in management,1
enterprise resource planning (erp),1
multi-divisional erp implementation,1
distance education and telelearning,1
distributed learning environments,1
evaluation of cal systems,1
interactive learning environments,1
postsecondary education,1
back-office information system,1
electronic government (egov.),1
ministry of finance (mof),1
shared service center (ssc),1
bcp (business continuity planning),1
disaster management and cio core competence,1
gcio (government chief information officer),1
isv,1
it/is,1
lemon market theory,1
asset protection,1
automation,1
change control,1
connection protection,1
continuous diagnostics and mitigation,1
continuous monitoring,1
ground segment ground system,1
incident handling,1
information assurance,1
information security leadership,1
infrastructure protection,1
it security metrics,1
least privilege,1
logical security,1
mission assurance,1
mission operations,1
mission operations center,1
nasa,1
network security,1
personnel screening,1
physical security,1
policies and procedures,1
scheduling restrictions,1
security controls,1
security hardening,1
software updates,1
system cloning and software licenses,1
system security,1
system security life cycle,1
unauthorized change detection,1
unauthorized change deterrence,1
unauthorized change prevention,1
decision process,1
information systems strategy,1
propensity,1
risk behavior,1
performance,1
embeddedness,1
framework validation,1
information system continuity management,1
management support,1
delphi study,1
procurement of information systems,1
public procurement,1
government chief information officer function,1
human capacity framework,1
ict training leaders,1
capabilities,1
ict investment,1
electronic medical records,1
functional responsibilities,1
labor-intensive industries,1
role conflicts,1
role synergies,1
chief information officer competencies,1
computer security scorecard,1
federal information of security management act,1
it security performance,1
u.s. federal government agencies,1
public sector of russian federation,1
sanctions,1
software and hardware import substitution,1
career paths,1
irish telecommunications software,1
motivation,1
cio's implication,1
it security manager,1
gender leadership,1
higher education gender,1
it gender,1
women in higher education,1
women in information technology,1
women professional development,1
service-oriented architecture (soa),1
geographic information systems,1
private partnership,1
development,1
diverse workforce,1
hr practices,1
human resource (hr) management,1
recruiting,1
retention,1
stress,1
success stories,1
improvisational capabilities,1
multi-year analysis,1
organizational information processing theory,1
economic benefits,1
green-computing,1
knowledge society,1
network externalities,1
synergism,1
virtualization,1
cios in higher education,1
it management higher education,1
chief executives,1
systems and management,1
knowledge integration,1
organizational aspects,1
d&m is success model,1
implemention success model,1
utaut,1
corporate unbundling,1
strategic alignment of information technology,1
value chain deconstruction,1
quality performance,1
citizens,1
ict-business alignment,1
cognitive social capital,1
relational social capital,1
structural social capital,1
cio pay,1
regulatory reporting reform,1
chief information officer (cio) role,1
cio's job title,1
cio's reporting structure,1
contingency approach to leadership,1
organisational strategic it vision,1
cio leadership,1
dynamic business environments,1
ethnographic research method,1
it organizational flexibility,1
socio-technical systems,1
uncertainty,1
ceo perceptions,1
the netherlands,1
energy savings in corporate it,1
power management,1
wake on lan,1
is/it perceptions gap,1
it stereotype,1
it/business relationships,1
it/is management,1
dissertation research,1
doctoral program,1
information technology education,1
outcomes assessment,1
esci,1
executive it leaders,1
senior it leadership,1
technology competencies,1
career path,1
career planning,1
mentor,1
capital planning and investment control (cpic),1
federal information security management act (fisma),1
information security (infosec),1
return on investment (roi),1
recommendations,1
strategic advantage,1
it leadership profile,1
role and place of customer in it,1
the effectiveness of it projects,1
the evolution of roles in it,1
monitoring,1
scenario analysis,1
eco-sustainability,1
g-readiness,1
readiness,1
cio activities,1
cio skills,1
cio responsibilities,1
cio's competence,1
knowledge based view,1
resource based view,1
reorg,1
reorganization,1
service desk,1
competitive impacts of it,1
questionnaire surveys,1
geospatial sciences,1
gis,1
history,1
u.s department of energy,1
brazilian cio,1
cio professional profile,1
it human resources,1
it professionals’ career,1
interactionism,1
role identity,1
organizational support,1
btm capability,1
environmental sustainability,1
certainty equivalent,1
expected value,1
net present value,1
process measure,1
process modeling,1
value-based business process management,1
variance,1
it awareness,1
it intensity,1
activity competency model,1
competency development,1
role performance,1
selection,1
enterprise architecture(ea),1
it roi,1
goals,1
nadra1.introduction,1
pakistan,1
architecture management,1
business model,1
project portfolio,1
is contribution,1
uncertain environment,1
information system capability,1
information technology strategy implementation,1
strategic enterprise planning,1
cio competences,1
ict management,1
ict skills,1
knowledge profile,1
and case study,1
is failure,1
process inquiry,1
emerging technologies,1
group it controlling,1
it/is evaluation,1
it/is governance instruments,1
it/is performance measurement,1
archives,1
email,1
email management,1
exploitation,1
exploration,1
it functional impact,1
staged maturity model,1
survey research,1
assessment method,1
business,1
sacm,1
samm,1
best medical practices,1
lesbian leaders,1
lesbian support systems,1
lesbians and medical treatment,1
lesbians coping with illness,1
lesbians fighting disease and disability,1
mills college,1
ovarian cancer,1
vivian stephenson,1
mobile work,1
mobile workforce,1
socio-technical perspective,1
supervisor/subordinate relations,1
balanced scorecard,1
communications technologies,1
alignment mechanisms,1
knowledge-based view of organizations,1
business process improvement,1
demonstration,1
industry experience,1
behavioral observation,1
determinants of cio effectiveness,1
video-coding,1
cio capabilities,1
long term performance,1
career roles,1
it careers,1
it roles,1
role transitions,1
characteristics,1
leadership theory,1
styles,1
dis,1
fisma,1
hla,1
ia,1
soa,1
tena,1
chinese firm,1
foreign direct investment,1
documentation,1
domain knowledge,1
pattern language,1
systems life cycle process,1
greece,1
user studies,1
cio core competencies,1
hard ict,1
information and communication technologies (ict),1
innovation drivers,1
soft ict,1
is/it,1
ministerial computer departments,1
turkey,1
information domain,1
information productivity,1
it transformation,1
key success factors,1
gcio education,1
gcio training,1
information technology (it) leadership,1
wikinomics,1
core activities,1
infrastructure activities,1
mobile agent,1
continuing education,1
it consultant,1
software tool,1
business and it perspectives,1
use,1
user,1
implementation processes,1
cross-domain,1
intellectual,1
it-business strategic alignment,1
operational,1
chief knowledge officer,1
executive knowledge leadership,1
knowledge management implementation,1
e-governance e-government innovation,1
green its (intelligent transport system),1
transactive memory system,1
information communications technology,1
executive derailment,1
business strategy alignment,1
chief information officer characteristics,1
personality,1
partnership,1
taiwan,1
distance education,1
hiring practices,1
online degrees,1
basic law on the formation of an advanced information and telecommunications network society (ict basic law),1
e-japan priority policy program,1
e-japan strategy,1
kasumigaseki wan,1
master plan for promoting governmentwide use of ict,1
ministerial chief information officers council (cio council),1
program for building e-government,1
strategic headquarters for the promotion of an advanced information and telecommunications network society (ict strategy headquarters),1
managerial discretion,1
power and politics,1
servey research,1
championing it,1
it experience,1
measuring it competence,1
management of information technology,1
cross-impact analysis,1
environmental pressures,1
creative climate,1
creativity in information systems,1
creativity techniques,1
managers,1
distance learning,1
multimedia,1
video,1
customer participation,1
customization,1
it product,1
morphological approach,1
product differentiation,1
strategic planning level,1
chief information officer recruitment,1
knowledge representation,1
qualitative simulation,1
system modeling,1
established leaders,1
is/it executives,1
is/it leadership,1
new leaders,1
case technology adaptation,1
managerial maturity,1
strategy oriented is management,1
cio and it roles,1
planning process,1
process model,1
km practices,1
km practitioners,1
us federal,1
information technology impact,1
value of information technology,1
centralisation,1
autonomous learning,1
benchmarking,1
induced learning,1
it usage,1
learning,1
post-implementation,1
coordination mechanisms,1
event sequence analysis,1
federated governance,1
influence tactics,1
influence behaviors,1
modified theory of vocational choice,1
socialization,1
technical backgrounds,1
corporate leadership,1
development of technology management strategies,1
global issues in technology management,1
strategic issues in technology management,1
tmt decision-making,1
top management team (tmt) composition and dynamics,1
career anchor,1
tacit knowledge,1
theory of work experience,1
information systems infrastructure,1
senior it management,1
asset,1
inquiry,1
interview,1
safeguard,1
threat,1
vulnerability,1
enterprise risk management,1
interorganisational systems,1
sarbanes-oxley act,1
group theory,1
personal construct theory,1
qualitative,1
repertory grids,1
industry membership,1
application portfolio management,1
information capital readiness,1
information services,1
organizational restructuring,1
explicit and tacit knowledge,1
information technology competence,1
information-technology management,1
computerization,1
informatization,1
mobile communication systems,1
face,1
financial management,1
human resource management,1
instruments,1
technology management,1
it success,1
authentication,1
computer crime,1
computer viruses,1
hacking,1
is case study,1
is problems,1
is project risk management,1
is security risks,1
office to future,1
opportunities threats analysis,1
multi-task operation,1
strategy implementation,1
is strategy and organization,1
roles and skills in strategic management,1
business risks,1
complementarity,1
control theory,1
erp implementation,1
fundamental interpersonal relationship orientation-behaviour (firo-b),1
it/business relationship,1
myers-briggs type indicator (mbti),1
contract pricing,1
data explosion,1
productivity improvement,1
reuse,1
plan authorship,1
role descriptions,1
strategic information systems plans,1
influence influence behaviors,1
executives,1
information systems technologies,1
strategy and trends,1
corporate roles and relationships,1
structured observation,1
business value of information technology,1
discriminant analysis,1
information systems productivity,1
information systems variables,1
management productivity,1
relational similarity,1
it vision,1
interprofessional relations,1
chief information officer (cio) capability,1
cio-top management team (tmt) engagements,1
healthcare industry,1
partial least squares,1
and quality,1
information systems success,1
organizational leadership,1
information technology alignment,1
information technology objectives,1
information technology success factors,1
diffusion,1
radio frequency identification,1
real-time enterprise,1
rftd vision,1
information technology personnel,1
is implementation,1
is evaluation,1
mobile business,1
pervasive systems,1
strategic fit,1
clinger-cohen act,1
information resources management,1
u.s. government administrative agencies,1
intrapreneurship,1
corporate information planning,1
data administration,1
data resource management,1
database administration,1
database management,1
information policy,1
management of information systems,1
mis management,1
mis planning,1
decision making support,1
action learning,1
change strategy,1
development of managerial competence,1
ceo satisfaction with is,1
cio perceptions of corporate use of is,1
information technology in the motor carrier industry,1
relationship between ceo and cio,1
role of information technology in strategic planning,1
satisfaction with information systems,1
codification,1
ethnography,1
organizational change,1
qualitative methods,1
redesign,1
executive responsibilities,1
business practice,1
executive sponsorship,1
it education,1
application software,1
environmental pressure,1
factors,1
information systems/technology (is/it),1
critical path analysis,1
security products,1
is project failures,1
construct dimensions,1
construct measurement,1
"information technology infrastructure, iti",1
channel richness,1
strategic grid,1
information system managerial roles,1
information system maturity,1
information system middle managers,1
information system personnel,1
convergence,1
impacts,1
insurance,1
organisational change,1
value change,1
analogy,1
metaphors,1
mintzberg,1
centralization/ decentralization,1
directors,1
resource-based view of firms,1
switching cost,1
cio position announcements,1
external hires,1
it-driven transformation,1
organization innovation,1
information strategy,1
service management,1
it-capabilities,1
it-leadership,1
coaching,1
management development,1
academic administration is,1
enterprise is,1
information system implementation,1
upgrade projects,1
peer influence,1
bpr projects,1
cbis,1
cultural and environmental pressures,1
successful implementation,1
curriculum design,1
organizational factors,1
strategy issues,1
enterprise architecture frameworks,1
campus publication,1
customer service,1
j2ee,1
java,1
news services,1
newsletter,1
open-source,1
rensselaer polytechnic institute,1
rpi,1
the kiosk,1
web application,1
web site,1
business process improvement (bpi),1
ceo-cio distance,1
it infrastructure capabilities (itc),1
